contact_id,cust_id,campaign_id,channel,contact_time,contact_type,status,response_time_sec
CONTACT_00000001,C005239,CAMP_2026_CAMPUS,APP Push,2026-07-07 17:00:00,marketing,clicked,18349
CONTACT_00000002,C006034,CAMP_2026_NYE,APP Push,2026-07-14 22:00:00,marketing,opened,77457
CONTACT_00000003,C003457,CAMP_2026_APPLEPAY,APP Push,2026-05-21 08:00:00,marketing,clicked,78967
CONTACT_00000004,C000218,CAMP_2026_DOUBLE11,电话外呼,2026-07-11 07:00:00,marketing,clicked,55047
CONTACT_00000005,C001806,CAMP_2026_MOVIE9,邮件,2026-07-14 00:00:00,marketing,sent,0
CONTACT_00000006,C006217,CAMP_2026_DOUBLE11,短信,2026-06-27 20:00:00,marketing,clicked,28281
CONTACT_00000007,C007842,CAMP_2026_AI_TOKEN,微信公众号,2026-06-04 13:00:00,marketing,opened,45142
CONTACT_00000008,C004946,CAMP_2026_FAMILY,微信公众号,2026-06-29 07:00:00,marketing,sent,0
CONTACT_00000009,C001023,CAMP_2026_618,邮件,2026-07-05 04:00:00,marketing,opened,81130
CONTACT_00000010,C007254,CAMP_2026_WOMEN,微信公众号,2026-05-07 23:00:00,marketing,opened,29931
CONTACT_00000011,C006333,,微信公众号,2026-07-06 21:00:00,service,sent,0
CONTACT_00000012,C003114,CAMP_2026_BIRTHDAY,微信公众号,2026-06-20 19:00:00,marketing,opened,48580
CONTACT_00000013,C002911,CAMP_2026_SPRING_TRAVEL,短信,2026-06-22 03:00:00,marketing,clicked,84999
CONTACT_00000014,C000585,CAMP_2026_CAMPUS,电话外呼,2026-06-25 17:00:00,marketing,sent,0
CONTACT_00000015,C001339,CAMP_2026_DORMANT,邮件,2026-06-26 04:00:00,marketing,sent,0
CONTACT_00000016,C005638,CAMP_2026_DORMANT,电话外呼,2026-04-18 23:00:00,marketing,clicked,30081
CONTACT_00000017,C006733,CAMP_2026_NYE,APP Push,2026-06-28 22:00:00,marketing,opened,27713
CONTACT_00000018,C007481,,电话外呼,2026-06-26 04:00:00,service,clicked,65495
CONTACT_00000019,C003242,CAMP_2026_WOMEN,邮件,2026-07-05 01:00:00,marketing,clicked,73639
CONTACT_00000020,C004416,CAMP_2026_AI_TOKEN,微信公众号,2026-04-26 06:00:00,marketing,opened,52410
CONTACT_00000021,C002966,CAMP_2026_NATIONAL,短信,2026-05-09 09:00:00,marketing,clicked,11975
CONTACT_00000022,C006192,,APP Push,2026-05-19 19:00:00,service,clicked,55393
